beetle,age,diet pair,choice,avg.perc,sex,fat 2,fat 4,fat 6,fat 8,fat 10,prot 2,prot 4,prot 6,prot 8,prot 10,fat eaten,protein eaten,total eaten
1,0,1,1&5,48,f,0.040005419,0.025853097,0.037140452,0.042947081,0.075488387,0.073234581,0.035376903,0.071029548,0.062750419,0.021211613,0.221434435,0.263603065,0.4850375
2,0,1,1&5,48,f,0.002869339,0.002407758,0,0.013818323,0.024328806,0.007978161,0.006694742,0,0.038421677,0.006836194,0.043424226,0.059930774,0.103355
3,0,1,1&5,48,f,0.057841081,0,0,0.247652274,0.05002179,0.160826419,0,0,0.174950226,0.01405571,0.355515145,0.349832355,0.7053475
4,0,1,1&5,48,f,0.029542839,0.019264532,0.027749613,0.017862081,0.064727194,0.051797161,0.015437968,0.051840387,0.040660419,0.018187806,0.159146258,0.177923742,0.33707
5,0,1,1&5,48,f,0,0.024327532,0,0.009017355,0.063503532,0,0.037939968,0,0.025072645,0.017843968,0.096848419,0.080856581,0.177705
6,0,1,1&5,48,f,0.095187387,0.011391387,0.044654952,0.036532323,0.111216565,0.044657613,0.031673613,0.124162548,0.101577677,0.031250935,0.298982613,0.333322387,0.632305
7,0,1,1&5,48,f,0.058981016,0.009343774,0.043463742,0.037422258,0.054358274,0.080176484,0.012741226,0.061416258,0.063027742,0.015274226,0.203569065,0.232635935,0.436205
8,0,1,1&5,48,f,0,0.112859032,0.035551629,0.108593597,0.022847532,0,0.064890968,0.098850871,0.030513903,0.006419968,0.27985179,0.20067571,0.4805275
9,0,1,1&5,48,f,0,0.04472121,0.07556829,0.031802113,0,0,0.01256629,0.07711671,0.088425387,0,0.152091613,0.178108387,0.3302
10,0,1,1&5,48,f,0.038416194,0.014047661,0.029741048,0.027554613,0.065523452,0.077893806,0.031039839,0.061621452,0.055810387,0.018411548,0.175282968,0.244777032,0.42006
11,0,1,1&5,48,f,0.038411645,0.004443823,0,0,0.050179871,0.010793355,0.001248677,0,0,0.014100129,0.093035339,0.026142161,0.1191775
12,0,1,1&5,48,f,0,0,0,0.006931645,0.069399355,0,0,0,0.019273355,0.019500645,0.076331,0.038774,0.115105
13,0,1,1&5,48,f,0.06199879,0.010787355,0.019206419,0.026984839,0.068536742,0.06031371,0.026252645,0.044188581,0.053265161,0.019258258,0.187514145,0.203278355,0.3907925
14,0,1,1&5,48,f,0.036303726,0,0.035248097,0.039217661,0.042609565,0.022073774,0,0.098006903,0.011019839,0.011972935,0.153379048,0.143073452,0.2964525
15,0,1,1&5,48,m,0.112379468,0.042831774,0.066915968,0.037271968,0.073224516,0.114538032,0.119093226,0.186059032,0.033083032,0.020575484,0.332623694,0.473348806,0.8059725
16,0,1,1&5,48,m,0.014967645,0.025612048,0.029907887,0.020363129,0.028399871,0.041617355,0.014555452,0.041114613,0.037121871,0.007980129,0.119250581,0.142389419,0.26164
17,0,1,1&5,48,m,0.012767532,0.004738145,0,0,0.024469323,0.035499968,0.013174355,0,0,0.006875677,0.041975,0.05555,0.097525
18,0,1,1&5,48,m,0.017137339,0.049215306,0.009252113,0.046054161,0.047605694,0.047650161,0.093057194,0.025725387,0.012940839,0.013376806,0.169264613,0.192750387,0.362015
19,0,1,1&5,48,m,0.041503048,0.025705452,0.049590629,0.010675871,0.079188645,0.051169452,0.021839548,0.074656871,0.029684129,0.022251355,0.206663645,0.199601355,0.406265
20,0,1,1&5,48,m,0,0.022492323,0,0.006312371,0.031178968,0,0.049817677,0,0.009405129,0.008761032,0.059983661,0.067983839,0.1279675
21,0,1,1&5,48,m,0.01385921,0,0.100552952,0.03783779,0.074832645,0.02561829,0,0.028254548,0.07711971,0.021027355,0.227082597,0.152019903,0.3791025
22,0,1,1&5,48,m,0.018603419,0.011875194,0.022952645,0.024714677,0.045884371,0.051726581,0.014979806,0.052107355,0.038460323,0.012893129,0.124030306,0.170167194,0.2941975
23,0,1,1&5,48,m,0.040804919,0.08368529,0,0.004324839,0,0.013457581,0.06053471,0,0.012025161,0,0.128815048,0.086017452,0.2148325
24,0,1,1&5,48,m,0.208486903,0.070134581,0.011522323,0,0.063966065,0.058583097,0.042525419,0.032037677,0,0.017973935,0.354109871,0.151120129,0.50523
25,0,1,1&5,48,m,0.015037081,0.032556419,0.041115048,0.02678579,0.079817065,0.041810419,0.019288581,0.053617452,0.04371171,0.022427935,0.195311403,0.180856097,0.3761675
26,0,1,1&5,48,m,0.034996323,0.011432387,0.030283177,0.018995565,0.080882645,0.009833677,0.031787613,0.008509323,0.052816935,0.022727355,0.176590097,0.125674903,0.302265
27,0,1,1&5,48,m,0.183069032,0.054887161,0.135451694,0.036776339,0.042584194,0.064630968,0.015422839,0.038060806,0.102256161,0.011965806,0.452768419,0.232336581,0.685105
28,0,1,1&5,48,m,0.028784306,0.008807823,0.029338113,0.024152726,0.043558048,0.045483194,0.088331871,0.053169387,0.043019774,0.012239452,0.134641016,0.242243677,0.376884694
29,0,2,2&5,52,f,0.026788177,0.014873226,0.039333113,0.043068081,0.017190355,0.012749323,0.006276774,0.034909387,0.056514419,0.007254645,0.141252952,0.117704548,0.2589575
30,0,2,2&5,52,f,0.071083177,0.015788968,0.021384242,0.105835339,0.080820194,0.146629323,0.043901032,0.013633258,0.126322161,0.022709806,0.294911919,0.353195581,0.6481075
31,0,2,2&5,52,f,0.064440145,0.014639613,0.011402629,0.044255516,0.007274871,0.068712355,0.009740387,0.031704871,0.055719484,0.003070129,0.142012774,0.168947226,0.31096
32,0,2,2&5,52,f,0.024258306,0.014268661,0.009450097,0.037090177,0.011065258,0.030539194,0.039673839,0.004374903,0.081667323,0.004669742,0.0961325,0.160925,0.2570575
33,0,2,2&5,52,f,0.037960887,0.006505113,0.031628194,0.024723661,0.115676,0.038536613,0.018087387,0.087941806,0.068743839,0.032504,0.216493855,0.245813645,0.4623075
34,0,2,2&5,52,f,0.085176129,0.013312435,0.001015742,0.033967113,0.068268387,0.083623871,0.037015065,0.002824258,0.082665387,0.021611613,0.201739806,0.227740194,0.42948
35,0,2,2&5,52,f,0.032086855,0.082065661,0.020918194,0.036201242,0.016325387,0.049055645,0.057991839,0.031841806,0.068531258,0.006889613,0.187597339,0.214310161,0.4019075
36,0,2,2&5,52,f,0.038064435,0.114789694,0.011460823,0.024467742,0,0.037253065,0.069142806,0.031866677,0.068032258,0,0.188782694,0.206294806,0.3950775
37,0,2,2&5,52,f,0.036826935,0.042550935,0.02713429,0.008069516,0.145833613,0.019698065,0.047414065,0.03227071,0.003405484,0.051556387,0.26041529,0.15434471,0.41476
38,0,2,2&5,52,f,0.043941306,0.043019032,0.019176968,0.03760229,0.061513774,0.048481194,0.045240968,0.008093032,0.10455271,0.018651226,0.205253371,0.225019129,0.4302725
39,0,2,2&5,52,f,0.027663242,0.030056452,0.021025065,0.039545968,0.120253774,0.046259258,0.059203548,0.058459935,0.072839032,0.040011226,0.2385445,0.276773,0.5153175
40,0,2,2&5,52,f,0.033419903,0.035586903,0.019155871,0.023462581,0.040955435,0.023095097,0.028913097,0.008084129,0.065237419,0.012687065,0.152580694,0.138016806,0.2905975
41,0,2,2&5,52,f,0.025686258,0.021977081,0.026281726,0.050546887,0.005421871,0.033323742,0.020290419,0.027565774,0.063070613,0.002288129,0.129913823,0.146538677,0.2764525
42,0,2,2&5,52,f,0.014674694,0.112646919,0.006466097,0.020220274,0.022720677,0.040802806,0.130695581,0.017978903,0.056222226,0.006384323,0.176728661,0.252083839,0.4288125
43,0,2,2&5,52,m,0.022590048,0.035497226,0.026126597,0.015037742,0.018955452,0.037937452,0.047902774,0.011025903,0.041812258,0.007999548,0.118207065,0.146677935,0.264885
44,0,2,2&5,52,m,0.043667145,0.010256129,0.023786065,0.02985721,0.028401887,0.024130355,0.015223871,0.018793935,0.01260029,0.011380613,0.135968435,0.082129065,0.2180975
45,0,2,2&5,52,m,0.056913597,0.045152258,0.008539903,0.025882242,0.058197097,0.039483903,0.073027742,0.023745097,0.071965258,0.016352903,0.194685097,0.224574903,0.41926
46,0,2,2&5,52,m,0.026198677,0.013689371,0.048202613,0.027073919,0.084040677,0.011056323,0.038063129,0.020342387,0.045213581,0.025944323,0.199205258,0.140619742,0.339825
47,0,2,2&5,52,m,0.052197387,0.018282694,0.034481677,0.043798532,0.022929161,0.078987613,0.023124806,0.022618323,0.061733968,0.009240839,0.171689452,0.195705548,0.367395
48,0,2,2&5,52,m,0.021595097,0.005485403,0.008006242,0.065053532,0,0.060044903,0.015252097,0.022261258,0.076653968,0,0.100140274,0.174212226,0.2743525
